#Iteration E_total(hartrees) DE(kcal/mol)
   0 -4334.68260   0.00
   1 -4334.76404 -51.11
   2 -4334.77732 -59.44
   3 -4334.80024 -73.82
   4 -4334.81892 -85.54
   5 -4334.83425 -95.16
   6 -4334.84716 -103.27
   7 -4334.85355 -107.27
   8 -4334.86108 -112.00
   9 -4334.86556 -114.81
  10 -4334.87032 -117.80
  11 -4334.87442 -120.37
  12 -4334.87716 -122.09
  13 -4334.88107 -124.54
  14 -4334.88365 -126.16
  15 -4334.88661 -128.02
  16 -4334.88848 -129.19
  17 -4334.89121 -130.90
  18 -4334.89175 -131.24
  19 -4334.89444 -132.93
  20 -4334.89647 -134.21
  21 -4334.89835 -135.39
  22 -4334.89921 -135.93
  23 -4334.90098 -137.04
  24 -4334.90167 -137.47
  25 -4334.90261 -138.06
  26 -4334.90321 -138.44
  27 -4334.90392 -138.88
  28 -4334.90434 -139.15
  29 -4334.90479 -139.43
  30 -4334.90536 -139.79
  31 -4334.90602 -140.20
  32 -4334.90655 -140.53
  33 -4334.90713 -140.90
  34 -4334.90758 -141.18
  35 -4334.90804 -141.46
  36 -4334.90843 -141.71
  37 -4334.90884 -141.97
  38 -4334.90920 -142.19
  39 -4334.90949 -142.37
  40 -4334.90975 -142.54
  41 -4334.90995 -142.66
  42 -4334.91040 -142.94
  43 -4334.91078 -143.19
  44 -4334.91134 -143.53
  45 -4334.91185 -143.86
  46 -4334.91216 -144.05
  47 -4334.91234 -144.16
  48 -4334.91256 -144.30
  49 -4334.91273 -144.41
  50 -4334.91295 -144.55
  51 -4334.91323 -144.72
  52 -4334.91349 -144.88
  53 -4334.91388 -145.13
  54 -4334.91455 -145.55
  55 -4334.91465 -145.62
  56 -4334.91488 -145.76
  57 -4334.91516 -145.94
  58 -4334.91553 -146.16
  59 -4334.91594 -146.42
  60 -4334.91647 -146.76
  61 -4334.91713 -147.17
  62 -4334.91792 -147.67
  63 -4334.91850 -148.03
  64 -4334.91908 -148.39
  65 -4334.92024 -149.12
  66 -4334.92067 -149.39
  67 -4334.92123 -149.74
  68 -4334.92203 -150.25
  69 -4334.92260 -150.60
  70 -4334.92299 -150.85
  71 -4334.92359 -151.23
  72 -4334.92412 -151.55
  73 -4334.92453 -151.81
  74 -4334.92493 -152.06
  75 -4334.92530 -152.29
  76 -4334.92581 -152.61
  77 -4334.92612 -152.81
  78 -4334.92657 -153.09
  79 -4334.92687 -153.28
  80 -4334.92701 -153.37
  81 -4334.92715 -153.46
  82 -4334.92726 -153.53
  83 -4334.92739 -153.61
  84 -4334.92747 -153.66
  85 -4334.92757 -153.72
  86 -4334.92765 -153.77
  87 -4334.92770 -153.80
  88 -4334.92776 -153.84
  89 -4334.92778 -153.85
  90 -4334.92786 -153.90
  91 -4334.92787 -153.91
  92 -4334.92790 -153.93
  93 -4334.92793 -153.95
  94 -4334.92797 -153.97
  95 -4334.92798 -153.98
  96 -4334.92803 -154.01
  97 -4334.92814 -154.08
  98 -4334.92821 -154.12
  99 -4334.92827 -154.16
 100 -4334.92837 -154.22
 101 -4334.92843 -154.26
 102 -4334.92850 -154.30
 103 -4334.92854 -154.33
 104 -4334.92856 -154.34
 105 -4334.92858 -154.35
 106 -4334.92859 -154.36
 107 -4334.92862 -154.38
 108 -4334.92865 -154.40
 109 -4334.92866 -154.41
 110 -4334.92868 -154.42
 111 -4334.92869 -154.43
 112 -4334.92871 -154.44
 113 -4334.92877 -154.48
 114 -4334.92881 -154.50
 115 -4334.92884 -154.52
 116 -4334.92887 -154.54
 117 -4334.92896 -154.60
 118 -4334.92902 -154.63
 119 -4334.92909 -154.67
 120 -4334.92914 -154.70
 121 -4334.92917 -154.72
 122 -4334.92920 -154.74
 123 -4334.92921 -154.75
 124 -4334.92923 -154.76
 125 -4334.92924 -154.77
 126 -4334.92925 -154.78
 127 -4334.92926 -154.78
 128 -4334.92928 -154.79
 129 -4334.92931 -154.82
 130 -4334.92934 -154.83
 131 -4334.92935 -154.84
 132 -4334.92937 -154.85
 133 -4334.92940 -154.87
 134 -4334.92944 -154.89
 135 -4334.92945 -154.90
 136 -4334.92947 -154.92
 137 -4334.92949 -154.92
 138 -4334.92950 -154.93
 139 -4334.92951 -154.94
 140 -4334.92952 -154.94
 141 -4334.92953 -154.95
 142 -4334.92954 -154.96
 143 -4334.92955 -154.96
 144 -4334.92956 -154.97
 145 -4334.92958 -154.98
 146 -4334.92959 -154.99
 147 -4334.92962 -155.01
 148 -4334.92963 -155.02
 149 -4334.92967 -155.04
 150 -4334.92969 -155.05
 151 -4334.92969 -155.05
