#Iteration E_total(hartrees) DE(kcal/mol)
   0 -4334.84682   0.00
   1 -4334.85116  -2.72
   2 -4334.85602  -5.77
   3 -4334.85834  -7.23
   4 -4334.86061  -8.65
   5 -4334.86292 -10.10
   6 -4334.86400 -10.78
   7 -4334.86521 -11.54
   8 -4334.86628 -12.21
   9 -4334.86689 -12.59
  10 -4334.86741 -12.92
  11 -4334.86786 -13.20
  12 -4334.86833 -13.50
  13 -4334.86858 -13.65
  14 -4334.86901 -13.92
  15 -4334.86933 -14.12
  16 -4334.86958 -14.28
  17 -4334.86974 -14.38
  18 -4334.87013 -14.63
  19 -4334.87027 -14.71
  20 -4334.87050 -14.86
  21 -4334.87075 -15.01
  22 -4334.87096 -15.14
  23 -4334.87113 -15.25
  24 -4334.87130 -15.36
  25 -4334.87140 -15.42
  26 -4334.87150 -15.49
  27 -4334.87160 -15.55
  28 -4334.87169 -15.61
  29 -4334.87175 -15.64
  30 -4334.87183 -15.69
  31 -4334.87190 -15.73
  32 -4334.87198 -15.79
  33 -4334.87203 -15.82
  34 -4334.87213 -15.88
  35 -4334.87218 -15.91
  36 -4334.87223 -15.94
  37 -4334.87231 -15.99
  38 -4334.87236 -16.03
  39 -4334.87246 -16.08
  40 -4334.87247 -16.09
  41 -4334.87250 -16.11
  42 -4334.87252 -16.12
  43 -4334.87257 -16.15
  44 -4334.87262 -16.19
  45 -4334.87265 -16.21
  46 -4334.87270 -16.24
  47 -4334.87272 -16.25
  48 -4334.87272 -16.25
  49 -4334.87274 -16.26
  50 -4334.87276 -16.27
  51 -4334.87277 -16.28
  52 -4334.87278 -16.29
  53 -4334.87280 -16.30
  54 -4334.87283 -16.32
  55 -4334.87286 -16.34
  56 -4334.87289 -16.35
  57 -4334.87294 -16.39
  58 -4334.87298 -16.41
  59 -4334.87300 -16.43
  60 -4334.87302 -16.44
  61 -4334.87303 -16.45
  62 -4334.87305 -16.46
  63 -4334.87306 -16.47
  64 -4334.87308 -16.47
  65 -4334.87309 -16.48
  66 -4334.87310 -16.49
  67 -4334.87311 -16.49
  68 -4334.87312 -16.50
  69 -4334.87313 -16.50
