#Iteration E_total(hartrees) DE(kcal/mol)
   0 -4334.90506   0.00
   1 -4334.91018  -3.21
   2 -4334.91523  -6.38
   3 -4334.91765  -7.90
   4 -4334.91976  -9.23
   5 -4334.92175 -10.47
   6 -4334.92281 -11.14
   7 -4334.92405 -11.92
   8 -4334.92486 -12.43
   9 -4334.92563 -12.91
  10 -4334.92627 -13.31
  11 -4334.92674 -13.61
  12 -4334.92716 -13.87
  13 -4334.92747 -14.06
  14 -4334.92764 -14.17
  15 -4334.92783 -14.29
  16 -4334.92804 -14.42
  17 -4334.92826 -14.56
  18 -4334.92848 -14.70
  19 -4334.92871 -14.84
  20 -4334.92885 -14.93
  21 -4334.92909 -15.08
  22 -4334.92926 -15.19
  23 -4334.92938 -15.26
  24 -4334.92948 -15.33
  25 -4334.92959 -15.39
  26 -4334.92975 -15.49
  27 -4334.92982 -15.54
  28 -4334.92993 -15.61
  29 -4334.93008 -15.70
  30 -4334.93020 -15.78
  31 -4334.93028 -15.83
  32 -4334.93039 -15.90
  33 -4334.93045 -15.93
  34 -4334.93049 -15.96
  35 -4334.93053 -15.98
  36 -4334.93057 -16.01
  37 -4334.93061 -16.03
  38 -4334.93063 -16.04
  39 -4334.93065 -16.06
  40 -4334.93067 -16.07
  41 -4334.93069 -16.08
  42 -4334.93071 -16.10
  43 -4334.93074 -16.12
  44 -4334.93080 -16.15
  45 -4334.93084 -16.18
  46 -4334.93090 -16.21
  47 -4334.93096 -16.26
  48 -4334.93104 -16.31
  49 -4334.93108 -16.33
  50 -4334.93112 -16.35
  51 -4334.93115 -16.37
  52 -4334.93119 -16.40
  53 -4334.93122 -16.42
  54 -4334.93126 -16.44
  55 -4334.93131 -16.47
  56 -4334.93134 -16.49
  57 -4334.93137 -16.51
  58 -4334.93139 -16.52
  59 -4334.93140 -16.53
  60 -4334.93143 -16.55
  61 -4334.93146 -16.57
  62 -4334.93148 -16.58
  63 -4334.93151 -16.60
  64 -4334.93153 -16.61
  65 -4334.93155 -16.63
  66 -4334.93156 -16.63
  67 -4334.93157 -16.64
