#Iteration E_total(hartrees) DE(kcal/mol)
   0 -4334.88712   0.00
   1 -4334.89158  -2.80
   2 -4334.89627  -5.74
   3 -4334.89848  -7.13
   4 -4334.90057  -8.44
   5 -4334.90290  -9.90
   6 -4334.90407 -10.63
   7 -4334.90533 -11.43
   8 -4334.90616 -11.95
   9 -4334.90684 -12.37
  10 -4334.90727 -12.64
  11 -4334.90773 -12.93
  12 -4334.90798 -13.09
  13 -4334.90824 -13.25
  14 -4334.90849 -13.41
  15 -4334.90875 -13.57
  16 -4334.90895 -13.70
  17 -4334.90918 -13.84
  18 -4334.90937 -13.96
  19 -4334.90951 -14.05
  20 -4334.90972 -14.18
  21 -4334.90983 -14.25
  22 -4334.91002 -14.37
  23 -4334.91009 -14.41
  24 -4334.91017 -14.46
  25 -4334.91027 -14.52
  26 -4334.91037 -14.59
  27 -4334.91051 -14.67
  28 -4334.91064 -14.76
  29 -4334.91082 -14.87
  30 -4334.91100 -14.99
  31 -4334.91124 -15.13
  32 -4334.91126 -15.15
  33 -4334.91150 -15.29
  34 -4334.91159 -15.35
  35 -4334.91166 -15.40
  36 -4334.91169 -15.42
  37 -4334.91174 -15.45
  38 -4334.91176 -15.46
  39 -4334.91180 -15.48
  40 -4334.91184 -15.51
  41 -4334.91189 -15.54
  42 -4334.91192 -15.56
  43 -4334.91197 -15.59
  44 -4334.91202 -15.62
  45 -4334.91210 -15.67
  46 -4334.91212 -15.69
  47 -4334.91224 -15.76
  48 -4334.91231 -15.81
  49 -4334.91239 -15.86
  50 -4334.91240 -15.86
  51 -4334.91249 -15.92
  52 -4334.91252 -15.94
  53 -4334.91255 -15.96
  54 -4334.91258 -15.97
  55 -4334.91262 -16.00
  56 -4334.91264 -16.01
  57 -4334.91267 -16.03
  58 -4334.91268 -16.04
  59 -4334.91271 -16.05
  60 -4334.91272 -16.06
  61 -4334.91273 -16.07
  62 -4334.91276 -16.09
  63 -4334.91281 -16.12
  64 -4334.91286 -16.15
  65 -4334.91288 -16.16
  66 -4334.91292 -16.19
  67 -4334.91301 -16.24
  68 -4334.91309 -16.30
  69 -4334.91316 -16.34
  70 -4334.91323 -16.38
  71 -4334.91326 -16.40
  72 -4334.91328 -16.42
  73 -4334.91331 -16.43
  74 -4334.91335 -16.46
  75 -4334.91338 -16.48
  76 -4334.91340 -16.49
  77 -4334.91341 -16.50
  78 -4334.91342 -16.50
  79 -4334.91343 -16.51
  80 -4334.91344 -16.51
  81 -4334.91346 -16.52
  82 -4334.91347 -16.54
  83 -4334.91348 -16.54
  84 -4334.91349 -16.55
  85 -4334.91351 -16.56
  86 -4334.91353 -16.57
  87 -4334.91355 -16.58
  88 -4334.91357 -16.60
  89 -4334.91359 -16.61
  90 -4334.91361 -16.62
  91 -4334.91363 -16.63
  92 -4334.91367 -16.66
  93 -4334.91371 -16.68
  94 -4334.91374 -16.70
  95 -4334.91375 -16.71
  96 -4334.91382 -16.75
  97 -4334.91385 -16.77
  98 -4334.91389 -16.79
  99 -4334.91393 -16.82
 100 -4334.91395 -16.84
 101 -4334.91401 -16.87
 102 -4334.91405 -16.90
 103 -4334.91407 -16.91
 104 -4334.91409 -16.92
 105 -4334.91412 -16.94
 106 -4334.91414 -16.95
 107 -4334.91417 -16.97
 108 -4334.91421 -17.00
 109 -4334.91426 -17.03
 110 -4334.91427 -17.03
 111 -4334.91428 -17.04
 112 -4334.91429 -17.05
 113 -4334.91429 -17.05
 114 -4334.91430 -17.05
 115 -4334.91430 -17.05
 116 -4334.91431 -17.06
 117 -4334.91431 -17.06
