#Iteration E_total(hartrees) DE(kcal/mol)
   0 -4334.91850   0.00
   1 -4334.92327  -3.00
   2 -4334.92905  -6.62
   3 -4334.93167  -8.26
   4 -4334.93411  -9.80
   5 -4334.93631 -11.18
   6 -4334.93745 -11.90
   7 -4334.93859 -12.61
   8 -4334.93980 -13.37
   9 -4334.94047 -13.79
  10 -4334.94123 -14.26
  11 -4334.94148 -14.42
  12 -4334.94191 -14.69
  13 -4334.94221 -14.88
  14 -4334.94251 -15.07
  15 -4334.94278 -15.24
  16 -4334.94317 -15.48
  17 -4334.94344 -15.65
  18 -4334.94370 -15.81
  19 -4334.94380 -15.88
  20 -4334.94411 -16.07
  21 -4334.94427 -16.17
  22 -4334.94443 -16.27
  23 -4334.94455 -16.35
  24 -4334.94470 -16.44
  25 -4334.94482 -16.52
  26 -4334.94490 -16.57
  27 -4334.94502 -16.64
  28 -4334.94510 -16.69
  29 -4334.94518 -16.74
  30 -4334.94527 -16.80
  31 -4334.94533 -16.84
  32 -4334.94540 -16.88
  33 -4334.94553 -16.96
  34 -4334.94559 -17.00
  35 -4334.94570 -17.07
  36 -4334.94577 -17.11
  37 -4334.94580 -17.13
  38 -4334.94585 -17.16
  39 -4334.94592 -17.21
  40 -4334.94596 -17.23
  41 -4334.94600 -17.26
  42 -4334.94603 -17.28
  43 -4334.94605 -17.29
  44 -4334.94606 -17.30
  45 -4334.94607 -17.31
  46 -4334.94608 -17.31
  47 -4334.94610 -17.32
  48 -4334.94611 -17.33
  49 -4334.94613 -17.34
  50 -4334.94614 -17.35
  51 -4334.94615 -17.35
